!------------------------------------------------------------------------------------------------------------!
! Line start with ! or blank line will be ignored by the program
! IMPORTANT: check (modify if needed) the AbsoluteMin and AbsoluteMax of the parameters that you calibrate
!------------------------------------------------------------------------------------------------------------!
!Parameter(SWAT) AtLine         StartPosition  EndPosition   RoundUp    AbsoluteMin   AbsoluteMax            !
!------------------------------------------------------------------------------------------------------------!
kpoc2.basins_sedflux.dia          54              1              15            4         0.0         Inf
kpoc3.basins_sedflux.dia          55              1              15            0         0.0         Inf
kpop1.basins_sedflux.dia          56              1              15            3         0.0         Inf
kpop2.basins_sedflux.dia          57              1              15            4         0.0         Inf
kpop3.basins_sedflux.dia          58              1              15            0         0.0         Inf
ThtaPON.basins_sedflux.dia        60              1              15            1         0.0         Inf
ThtaPON2.basins_sedflux.dia       61              1              15            2         0.0         Inf
ThtaPON3.basins_sedflux.dia       62              1              15            2         0.0         Inf
ThtaPOC1.basins_sedflux.dia       63              1              15            1         0.0         Inf
ThtaPOC2.basins_sedflux.dia       64              1              15            2         0.0         Inf
ThtaPOC3.basins_sedflux.dia       65              1              15            2         0.0         Inf
ThtaPOP1.basins_sedflux.dia       66              1              15            1         0.0         Inf
ThtaPOP2.basins_sedflux.dia       67              1              15            2         0.0         Inf
ThtaPOP3.basins_sedflux.dia       68              1              15            2         0.0         Inf
POC1R.basins_sedflux.dia          70              1              15            4         0.0         Inf
kBEN_STR.basins_sedflux.dia       71              1              15            2         0.0         Inf
KM_O2_Dp.basins_sedflux.dia       72              1              15            0         0.0         Inf
KSI.basins_sedflux.dia            74              1              15            1         0.0         Inf
THTASI.basins_sedflux.dia         75              1              15            1         0.0         Inf
CSISAT.basins_sedflux.dia         76              1              15            0         0.0         Inf
THTASISAT.basins_sedflux.dia      77              1              15            3         0.0         Inf
DPIE1SI.basins_sedflux.dia        78              1              15            0         0.0         Inf
PIE2SI.basins_sedflux.dia         79              1              15            0         0.0         Inf
KMPSI.basins_sedflux.dia          80              1              15            0         0.0         Inf
O2CRITSI.basins_sedflux.dia       81              1              15            0         0.0         Inf
POC2_1.basins_sedflux.dia         83              1              15            7         0.0         Inf
POC2_2.basins_sedflux.dia         84              1              15            6         0.0         Inf
POC2_3.basins_sedflux.dia         85              1              15            6         0.0         Inf
PON2_1.basins_sedflux.dia         86              1              15            8         0.0         Inf
PON2_2.basins_sedflux.dia         87              1              15            6         0.0         Inf
PON2_3.basins_sedflux.dia         88              1              15            7         0.0         Inf
POP2_1.basins_sedflux.dia         89              1              15            8         0.0         Inf
POP2_2.basins_sedflux.dia         90              1              15            9         0.0         Inf
POP2_3.basins_sedflux.dia         91              1              15            8         0.0         Inf
OS2.basins_sedflux.dia            92              1              15            6         0.0         Inf
NH3_1.basins_sedflux.dia          94              1              15            9         0.0         Inf
NH3_2.basins_sedflux.dia          95              1              15            9         0.0         Inf
NO3_1.basins_sedflux.dia          96              1              15            9         0.0         Inf
NO3_2.basins_sedflux.dia          97              1              15            9         0.0         Inf
PO4_1.basins_sedflux.dia          98              1              15            9         0.0         Inf
PO4_2.basins_sedflux.dia         99               1              15            9         0.0         Inf
Si_1.basins_sedflux.dia          100              1              15            9         0.0         Inf
Si_2.basins_sedflux.dia          101              1              15            9         0.0         Inf
HS_1.basins_sedflux.dia          102              1              15            9         0.0         Inf
HS_2.basins_sedflux.dia          103              1              15            9         0.0         Inf
CH4_1.basins_sedflux.dia         104              1              15            9         0.0         Inf
CH4_2.basins_sedflux.dia         105              1              15            9         0.0         Inf
